symbol,fill_time,fill_dir,fill_px,order_time,order_px,gap_min
NZDCAD,00:00:36.364,buy,0.80104,00:18:28.102,0.80004,17.86
AUDCHF,00:01:10.119,sell,0.58703,01:19:16.420,0.58705,78.11
NZDCAD,00:42:29.915,buy,0.80072,00:46:13.208,0.79843,3.72
AUDNZD,00:56:50.196,sell,1.2434,01:14:56.166,1.2448,18.1
NZDCAD,01:14:55.716,buy,0.80006,02:44:27.194,0.7995,89.52
AUDCAD,01:19:16.383,buy,0.99485,02:17:38.614,0.99606,58.37
AUDCAD,01:23:05.919,sell,0.99506,03:07:30.594,0.99707,104.41
EURUSD,01:53:27.050,sell,1.14816,04:01:04.865,1.14956,127.63
AUDNZD,02:15:22.437,sell,1.24481,03:05:34.851,1.24621,50.21
AUDCHF,02:16:06.528,sell,0.58708,02:17:35.294,0.58808,1.48
AUDCHF,02:55:00.684,sell,0.58727,03:17:13.056,0.58827,22.21
AUDCAD,03:04:51.525,sell,0.99594,03:07:32.167,0.99694,2.68
AUDCAD,03:05:34.571,sell,0.99607,03:12:26.483,0.99583,6.87
GBPUSD,03:07:41.470,sell,1.33639,03:34:52.288,1.33985,27.18
GBPUSD,03:14:06.520,sell,1.33666,03:34:58.299,1.33766,20.86
AUDNZD,03:16:12.998,sell,1.2462,03:16:13.101,1.24554,0.0
NZDCAD,03:20:56.776,sell,0.79997,03:38:15.950,0.80102,17.32
AUDNZD,03:25:54.822,buy,1.24554,04:01:03.516,1.24349,35.14
AUDCAD,03:33:00.693,sell,0.99696,03:40:53.757,0.99662,7.88
AUDCAD,03:38:15.947,sell,0.99707,05:21:45.173,0.99586,103.49
AUDNZD,03:38:58.127,buy,1.24552,04:03:27.750,1.24129,24.49
AUDNZD,03:38:58.504,buy,1.24552,04:03:27.816,1.24391,24.49
GBPUSD,03:39:20.622,buy,1.33674,04:00:41.420,1.34015,21.35
NZDCAD,03:40:53.281,sell,0.80076,03:48:59.700,0.80141,8.11
AUDNZD,03:40:53.449,buy,1.24489,04:16:36.922,1.23981,35.72
NZDCAD,03:48:11.948,sell,0.80111,04:04:31.829,0.80385,16.33
NZDCAD,04:00:06.829,sell,0.80141,04:16:45.662,0.80115,16.65
GBPUSD,04:01:03.367,sell,1.33744,04:02:26.764,1.33715,1.39
GBPUSD,04:01:03.369,sell,1.33744,04:04:31.851,1.33844,3.47
GBPUSD,04:01:04.528,sell,1.33744,04:16:36.961,1.33715,15.54
AUDNZD,04:03:53.618,buy,1.2439,05:13:11.267,1.24455,69.29
CADCHF,04:04:06.371,buy,0.58896,04:28:58.132,0.58763,24.86
CADCHF,04:04:07.501,buy,0.58896,05:28:06.347,0.58924,83.98
AUDNZD,04:04:48.530,buy,1.24344,06:30:04.268,1.24349,145.26
AUDCHF,04:08:03.071,buy,0.58717,05:30:00.360,0.58617,81.95
CADCHF,04:15:18.115,buy,0.58863,05:28:08.863,0.58863,72.85
AUDCHF,04:16:22.355,buy,0.58687,05:30:02.003,0.58587,73.66
AUDCAD,04:25:12.824,buy,0.99686,06:36:37.809,0.99751,131.42
GBPUSD,04:28:58.129,buy,1.33714,05:29:59.956,1.33614,61.03
GBPUSD,04:28:58.132,buy,1.33714,07:32:31.703,1.3361,183.56
NZDCAD,04:59:51.072,buy,0.80115,05:15:45.966,0.80015,15.91
AUDNZD,05:13:09.533,sell,1.2444,07:04:36.760,1.24569,111.45
AUDNZD,05:13:09.755,sell,1.2444,07:14:24.467,1.24619,121.25
AUDCAD,05:21:40.121,buy,0.99663,07:58:14.164,0.99696,156.57
CADCHF,05:30:01.903,sell,0.58924,06:48:12.534,0.59024,78.18
AUDNZD,05:30:17.650,sell,1.24409,07:31:19.704,1.24509,121.03
EURGBP,06:00:13.288,buy,0.85887,06:30:03.344,0.85744,29.83
EURUSD,06:04:36.089,buy,1.1479,06:32:07.254,1.1465,27.52
EURGBP,06:20:09.674,buy,0.85874,06:32:07.211,0.85741,11.96
AUDCAD,06:43:01.757,sell,0.99754,10:25:05.452,0.99697,222.06
AUDCAD,06:48:11.580,sell,0.99762,12:17:32.461,0.99648,329.35
AUDNZD,07:10:10.284,sell,1.24528,07:42:06.695,1.24668,31.94
AUDNZD,07:14:22.267,sell,1.24604,10:38:55.718,1.2481,204.56
AUDNZD,07:14:23.289,sell,1.24604,10:40:21.960,1.24612,205.98
AUDNZD,07:31:19.576,sell,1.24575,12:34:26.475,1.24516,303.11
GBPUSD,07:32:31.576,buy,1.33615,07:46:00.955,1.33614,13.49
GBPUSD,07:32:32.898,buy,1.33611,07:51:34.670,1.33739,19.03
EURGBP,08:11:15.045,sell,0.8593,08:11:30.346,0.85944,0.26
EURGBP,08:35:48.851,buy,0.85874,09:42:56.547,0.85929,67.13
EURGBP,09:42:46.750,sell,0.85924,09:58:00.309,0.85874,15.23
EURGBP,09:42:48.310,sell,0.85924,11:38:10.560,0.85814,115.37
EURGBP,09:45:20.352,sell,0.85929,11:50:06.502,0.85911,124.77
NZDCAD,09:58:30.832,buy,0.80015,10:40:47.911,0.80058,42.28
